area_name,geographycode,Employment_Status_Allcategories,Employment_Status_Part_time,Employment_Status_Part_time per 1000,Employment_Status_Full_time,Employment_Status_Full_time per 1000,Employment_Status_Self_employedwithemployees_Part_time,Employment_Status_Self_employedwithemployees_Part_time per 1000,Employment_Status_Self_employedwithemployees_Full_time,Employment_Status_Self_employedwithemployees_Full_time per 1000,Employment_Status_Self_employedwithoutemployees_Part_time,Employment_Status_Self_employedwithoutemployees_Part_time per 1000,Employment_Status_Self_employedwithoutemployees_Full_time,Employment_Status_Self_employedwithoutemployees_Full_time per 1000,Employment_Status_Full_time_student,Employment_Status_Full_time_student per 1000,General_Health_Allcategories,General_Health_Very_good_health,General_Health_Very_good_health per 1000,General_Health_Good_health,General_Health_Good_health per 1000,General_Health_Fair_health,General_Health_Fair_health per 1000,General_Health_Bad_health,General_Health_Bad_health per 1000,General_Health_Very_bad_health,General_Health_Very_bad_health per 1000,TOTAL POPULATION,covid_deaths
Medway,E06000035,98648,24133,244.637499,54673,554.2230963,546,5.534830914,2624,26.59962696,3599,36.48325359,9178,93.03787203,3895,39.48382126,263925,120662,457.1829118,95679,362.5234442,34307,129.9876859,10388,39.35966657,2889,10.94629156,263925,729
Melton,E07000133,22107,4914,222.2825349,12322,557.3800154,151,6.830415705,783,35.41864568,1037,46.90821912,2015,91.14760031,885,40.03256887,50376,24349,483.3452438,17892,355.1691282,6295,124.9602986,1449,28.763697,391,7.761632523,50376,91
Mendip,E07000187,49267,12077,245.1336594,24480,496.8843242,376,7.631883411,1829,37.12424138,3227,65.50023342,5441,110.4390363,1837,37.28662188,109279,51153,468.0954255,38270,350.2045224,14619,133.7768464,4137,37.85722783,1100,10.06597791,109279,169
Merton,E09000024,75223,13975,185.7809447,41225,548.0371695,588,7.816758172,2560,34.03214442,4845,64.40849208,8789,116.8392646,3241,43.08522659,199693,103891,520.2535893,67098,336.0057689,21025,105.286615,5930,29.69558272,1749,8.758444212,199693,430
Mid Devon,E07000042,30331,7045,232.2706142,14250,469.8163595,281,9.264448914,1450,47.80587518,2101,69.26906465,4323,142.5274472,881,29.04619037,77750,36263,466.4051447,27554,354.392283,10398,133.7363344,2785,35.81993569,750,9.646302251,77750,69
Mid Suffolk,E07000203,41665,8831,211.9524781,23149,555.5982239,304,7.296291852,1429,34.29737189,2476,59.42637706,4399,105.5802232,1077,25.84903396,96731,46319,478.8433904,34155,353.092597,12432,128.5213634,3020,31.22060146,805,8.322047741,96731,177
Mid Sussex,E07000228,60745,13907,228.9406536,32752,539.1719483,398,6.551979587,1843,30.33994567,3560,58.60564656,5953,97.99983538,2332,38.38999095,139860,72448,518.003718,47524,339.7969398,14938,106.8068068,3864,27.62762763,1086,7.764907765,139860,319
Middlesbrough,E06000002,62839,17932,285.3641847,36360,578.6215567,314,4.996896832,1287,20.48091154,1358,21.61078311,2511,39.95926097,3077,48.96640621,138412,62855,454.1152501,45295,327.2476375,19719,142.4659712,8001,57.80568159,2542,18.36545964,138412,365
Milton Keynes,E06000042,143998,26264,182.3914221,96424,669.6204114,560,3.888942902,2753,19.11832109,4017,27.89622078,8846,61.43140877,5134,35.65327296,248821,124826,501.6698751,86778,348.7567368,26929,108.2263957,7955,31.97077417,2333,9.376218245,248821,501
Mole Valley,E07000210,46437,8850,190.5807869,27348,588.9269333,295,6.352692896,1441,31.0312897,2722,58.61705106,4436,95.52727351,1345,28.96397269,85375,43926,514.5065886,28801,337.3469985,9607,112.5270864,2437,28.54465593,604,7.074670571,85375,239
New Forest,E07000091,75620,18014,238.2174028,39950,528.2993917,591,7.815392753,2474,32.71621264,4301,56.8764877,7283,96.31049987,3007,39.76461254,176462,79671,451.4909726,63302,358.7287915,24871,140.9425259,6715,38.0535186,1903,10.7841915,176462,303
Newark and Sherwood,E07000175,50938,12060,236.7584122,29178,572.8140092,311,6.105461541,1603,31.46962975,2009,39.44010366,3927,77.09372178,1850,36.3186619,114817,51505,448.5833979,39671,345.515037,16874,146.9642997,5246,45.69009816,1521,13.24716723,114817,223
Newcastle upon Tyne,E08000021,169652,36034,212.3995002,109168,643.4819513,664,3.913894325,3477,20.49489543,3354,19.76988188,6656,39.23325396,10299,60.70662297,280177,133933,478.0299596,89096,317.9989792,38018,135.6927942,14793,52.79876649,4337,15.47950046,280177,493
Newcastle-under-Lyme,E07000195,49280,11413,231.5949675,28832,585.0649351,243,4.931006494,1403,28.46996753,1685,34.19237013,3379,68.56737013,2325,47.17938312,123871,55311,446.5209775,42716,344.8426185,17802,143.7140251,6312,50.95623673,1730,13.9661422,123871,350
Newham,E09000025,103887,20595,198.2442462,55629,535.4760461,1053,10.13601317,3496,33.65194875,5670,54.57853244,10487,100.9462204,6957,66.96699298,307984,149269,484.6647878,106549,345.9562834,34839,113.1195127,12763,41.44046444,4564,14.81895163,307984,745
North Devon,E07000043,47704,11757,246.4573201,24565,514.9463357,361,7.567499581,1917,40.18530941,2411,50.54083515,5203,109.0684219,1490,31.23427805,93667,43441,463.7812677,31704,338.4756638,13264,141.608037,4064,43.38774595,1194,12.7472856,93667,55
North Dorset,E07000050,30265,6409,211.7627623,16499,545.1511647,226,7.467371551,1135,37.50206509,1804,59.60680654,3374,111.4819098,818,27.02792004,68583,32782,477.9901725,24146,352.0697549,8808,128.4283277,2266,33.04025779,581,8.471487103,68583,83
North East Derbyshire,E07000038,31416,7594,241.7239623,16779,534.0909091,211,6.716322893,1099,34.98217469,1499,47.71454036,3279,104.3735676,955,30.39852305,99023,42535,429.546671,33926,342.6072731,15734,158.8923785,5319,53.71479353,1509,15.2388839,99023,272
North East Lincolnshire,E06000012,71067,19846,279.257602,41220,580.0160412,334,4.699790339,1724,24.25879804,1801,25.34228263,3782,53.21738641,2360,33.2080994,159616,70242,440.0686648,55935,350.4347935,23779,148.9762931,7507,47.0316259,2153,13.48862269,159616,252
North Hertfordshire,E07000099,52441,11621,221.6014187,28989,552.7926622,374,7.131824336,1685,32.13134761,2840,54.15609924,4870,92.86626876,2062,39.32037909,127114,63801,501.9195368,43360,341.1111286,14965,117.7289677,3958,31.13740422,1030,8.102962695,127114,298
North Kesteven,E07000139,45839,8992,196.1648378,28439,620.4105674,263,5.737472458,1370,29.88721394,1838,40.09686075,3614,78.84116146,1323,28.86188617,107766,49563,459.9131451,37834,351.0754784,14941,138.6429857,4198,38.95477238,1230,11.4136184,107766,195
North Lincolnshire,E06000013,76797,18008,234.4883264,47847,623.0321497,390,5.078323372,1963,25.56089431,2167,28.21724807,4258,55.44487415,2164,28.17818404,167446,73234,437.3589097,59883,357.625742,24667,147.3131636,7593,45.34596228,2069,12.3562223,167446,278
North Norfolk,E07000147,39632,10147,256.0304804,18969,478.6283811,352,8.881711748,1734,43.75252321,2671,67.39503432,4644,117.1780379,1115,28.13383125,101499,39504,389.205805,38336,377.6983024,17412,171.5484882,4839,47.67534656,1408,13.87205785,101499,185
North Somerset,E06000024,83584,20746,248.2053982,44681,534.5640314,490,5.862366003,2527,30.23305896,4057,48.5379977,7567,90.5316807,3516,42.06546708,202566,93803,463.0737636,70435,347.7138315,27670,136.5974547,8276,40.85581983,2382,11.75913036,202566,333
North Tyneside,E08000022,84221,19846,235.641942,51942,616.7345436,368,4.369456549,1918,22.77341756,2227,26.44233623,4758,56.49422353,3162,37.54408045,200801,90031,448.3593209,66955,333.4395745,30156,150.178535,10638,52.97782382,3021,15.04474579,200801,431
North Warwickshire,E07000218,39558,7393,186.890136,25974,656.6054907,184,4.651397947,997,25.20349866,1076,27.20056626,2618,66.1813034,1316,33.26760706,62014,27979,451.1723159,21604,348.372948,8725,140.6940368,2850,45.95736447,856,13.80333473,62014,150
North West Leicestershire,E07000134,53711,10266,191.1340321,35284,656.9231629,246,4.580067398,1342,24.98557093,1604,29.86352889,3484,64.86566997,1485,27.64796783,93468,42477,454.4550006,33202,355.223178,12978,138.8496598,3733,39.93880258,1078,11.53335901,93468,211
Northumberland,E06000057,123686,30068,243.0994615,69009,557.9370341,880,7.11479068,4676,37.80541047,5017,40.56239186,10121,81.82817781,3915,31.65273353,316028,138990,439.8028023,108458,343.1911096,48580,153.7205564,15641,49.49245004,4359,13.79308163,316028,700
Norwich,E07000148,89224,20856,233.7487671,54466,610.4411369,344,3.855464897,1890,21.18264144,2270,25.44158522,4500,50.43486058,4898,54.8955438,132512,59454,448.6687998,46939,354.2245231,18620,140.5155759,5862,44.23750302,1637,12.35359816,132512,200
Nottingham,E06000018,174216,39039,224.0838959,109827,630.4070809,678,3.891720623,3339,19.16586307,3823,21.94402351,7505,43.07870689,10005,57.42870919,305680,141038,461.3909971,103332,338.0397802,41581,136.0278723,15063,49.27702172,4666,15.26432871,305680,636
Nuneaton and Bedworth,E07000219,45300,11700,258.2781457,25941,572.6490066,228,5.033112583,1137,25.09933775,1440,31.78807947,3204,70.72847682,1650,36.42384106,125252,55086,439.8013605,44255,353.3276914,18133,144.7721394,6019,48.05512088,1759,14.04368793,125252,274
Oadby and Wigston,E07000135,21125,5247,248.3786982,11723,554.9349112,134,6.343195266,588,27.83431953,836,39.5739645,1491,70.57988166,1106,52.35502959,56170,25383,451.8960299,20568,366.1741143,7524,133.9505074,2082,37.06604949,613,10.91329891,56170,161
Oldham,E08000004,89047,20171,226.5208261,53441,600.1437443,587,6.592024437,2538,28.50180242,2933,32.93766213,5983,67.18923714,3394,38.11470347,224897,101526,451.4333228,74987,333.4281916,32778,145.7467196,12179,54.15367924,3427,15.23808677,224897,628
Oxford,E07000178,99423,19159,192.7018899,64870,652.4647214,349,3.510254167,1618,16.27390041,2836,28.52458687,4281,43.05844724,6310,63.46619997,151906,83904,552.3415797,48201,317.3080721,14320,94.26882414,4189,27.57626427,1292,8.505259832,151906,175
Pendle,E07000122,34602,8071,233.2524132,19919,575.6603665,257,7.42731634,1092,31.55886943,1458,42.1362927,2537,73.3194613,1268,36.64528062,89452,38965,435.5967446,30826,344.6093995,13431,150.1475652,4921,55.01274427,1309,14.63354648,89452,260
Peterborough,E06000031,101167,21833,215.81148,65794,650.3504107,430,4.250397857,2078,20.54029476,2648,26.17454308,5100,50.41169551,3284,32.46117805,183631,81275,442.5995611,68493,372.9925775,24362,132.6682314,7425,40.43434932,2076,11.3052807,183631,316
Plymouth,E06000026,121963,29981,245.8204537,72233,592.2533883,596,4.886727942,2647,21.70330346,3373,27.65592844,6914,56.68932381,6219,50.99087428,256384,117976,460.1535197,85956,335.2627309,35756,139.462681,13012,50.751997,3684,14.36907139,256384,207
Poole,E06000029,78847,17533,222.3673697,47453,601.8364681,402,5.09848187,1845,23.39974888,2968,37.64252286,5506,69.83144571,3140,39.82396286,147645,68689,465.2307901,51486,348.7148227,19849,134.4373328,5841,39.56110942,1780,12.055945,147645,395
Portsmouth,E06000044,109456,23650,216.0685572,67708,618.586464,402,3.672708668,2238,20.44657214,2575,23.52543488,6779,61.93356234,6104,55.76670077,205056,97795,476.9185003,71443,348.4072644,25464,124.1807116,7995,38.98934925,2359,11.50417447,205056,355
Preston,E07000123,87088,19549,224.4740952,55129,633.0263641,400,4.5930553,1819,20.88691898,1863,21.39215506,3712,42.62355319,4616,53.00385817,140202,65276,465.5853697,47840,341.2219512,18585,132.5587367,6644,47.38876764,1857,13.24517482,140202,311
Purbeck,E07000051,20220,4385,216.8644906,11347,561.1770524,153,7.566765579,725,35.85558853,1082,53.51137488,1897,93.81800198,631,31.20672601,44973,20231,449.8476864,16148,359.0598804,6340,140.973473,1782,39.62377426,472,10.495186,44973,68
Reading,E06000038,89115,16984,190.5851989,57607,646.4343825,305,3.422543904,1957,21.96038826,2342,26.2806486,5465,61.32525389,4455,49.99158391,155698,78169,502.0552608,54913,352.6891803,16770,107.7085126,4590,29.48014746,1256,8.06689874,155698,267
Redbridge,E09000026,78894,18654,236.443836,37631,476.981773,853,10.81197556,3181,40.31992293,5469,69.3208609,9271,117.5121048,3835,48.60952671,278970,134230,481.1628491,97595,349.8404846,33470,119.9770585,10479,37.56317884,3196,11.45642901,278970,816
Redcar and Cleveland,E06000003,45844,12578,274.3652386,26055,568.3404589,290,6.325800541,1288,28.09527964,1399,30.51653433,2688,58.63362708,1546,33.72306081,135177,57285,423.7777137,45844,339.1405343,21449,158.673443,8184,60.54284383,2415,17.86546528,135177,315
Redditch,E07000236,39031,8344,213.7787912,24280,622.069637,170,4.355512285,874,22.39245728,1291,33.07627271,2693,68.99643873,1379,35.33089083,84214,39391,467.7488304,29354,348.5643717,10913,129.5865296,3522,41.82202484,1034,12.27824352,84214,172
Reigate and Banstead,E07000211,67831,13596,200.4393272,40777,601.1558137,382,5.631643349,1759,25.93209594,3237,47.72154325,5946,87.65903495,2134,31.46054164,137835,71052,515.4859071,46908,340.3199478,14866,107.8535931,3844,27.88841731,1165,8.452134799,137835,399
Ribble Valley,E07000124,29815,5558,186.4162334,17848,598.6248533,185,6.204930404,1086,36.42461848,1255,42.09290626,2570,86.19822237,1313,44.03823579,57132,29415,514.8603235,18376,321.6411118,7049,123.3809424,1805,31.59350277,487,8.524119583,57132,145
Richmond upon Thames,E09000027,78387,13914,177.5039228,42737,545.2051998,659,8.407006264,2753,35.12061949,6021,76.81120594,8855,112.96516,3448,43.98688558,186990,107217,573.3836034,57088,305.2997486,16662,89.10636932,4617,24.69115996,1406,7.519118669,186990,295
Richmondshire,E07000166,27802,4722,169.8438961,17685,636.1053162,165,5.934824833,1095,39.38565571,1012,36.40025897,2383,85.71325804,740,26.61679016,51965,26678,513.3840085,17383,334.5136149,5988,115.2314058,1523,29.3081882,393,7.562782642,51965,82
Rochdale,E08000005,79184,17343,219.0215195,47746,602.9753486,605,7.640432411,2333,29.46302283,2936,37.07819762,5809,73.36077996,2412,30.46069913,211699,94233,445.1272798,70158,331.4044941,31303,147.8656016,12453,58.82408514,3552,16.77853934,211699,600
Rochford,E07000075,26660,6384,239.459865,13112,491.8229557,211,7.91447862,1013,37.99699925,1574,59.03975994,3531,132.4456114,835,31.32033008,83287,39774,477.5535198,29085,349.2141631,10832,130.0563113,2816,33.8107988,780,9.365207055,83287,268
Rossendale,E07000125,24266,5164,212.8080442,13666,563.1748125,161,6.634797659,902,37.17135086,1191,49.08101871,2400,98.90381604,782,32.22616006,67982,31438,462.4459416,22508,331.0876408,9603,141.2579801,3475,51.11647201,958,14.09196552,67982,166
Rother,E07000064,32090,7673,239.1087566,14514,452.2904332,298,9.28638205,1371,42.7235899,2588,80.648177,4566,142.2873169,1080,33.65534434,90588,36737,405.539365,33152,365.9645869,14960,165.1432861,4463,49.26701108,1276,14.08575087,90588,349
Rotherham,E08000018,107716,26836,249.1366185,64221,596.2066917,609,5.653756174,2786,25.86430985,3177,29.49422556,7128,66.17401315,2959,27.47038509,257280,111232,432.3383085,87237,339.0741604,39278,152.6663557,15114,58.74533582,4419,17.17583955,257280,745
Rugby,E07000220,47452,9409,198.2845823,29929,630.7215713,217,4.573042232,1159,24.42468178,1616,34.05546658,3387,71.37739189,1735,36.56326393,100075,47711,476.7524357,35306,352.7954034,12580,125.7057207,3508,35.05370972,970,9.692730452,100075,173
Runnymede,E07000212,49802,8133,163.3066945,32838,659.3711096,230,4.618288422,1067,21.42484238,1718,34.49660656,3678,73.85245572,2138,42.93000281,80510,41319,513.2157496,27451,340.9638554,8767,108.8933052,2371,29.44975779,602,7.477332008,80510,155
Rushcliffe,E07000176,45942,10408,226.5465152,25850,562.6659701,304,6.617038875,1332,28.99307823,2297,49.99782334,3700,80.53632841,2051,44.64324583,111129,57689,519.1174221,36222,325.9455228,12779,114.9924862,3468,31.20697568,971,8.737593247,111129,203
Rushmoor,E07000092,49880,8512,170.6495589,33901,679.6511628,198,3.969526864,1041,20.87008821,1319,26.44346431,3298,66.11868484,1611,32.29751403,93807,46970,500.7089023,33340,355.410577,10099,107.6572111,2625,27.98298634,773,8.240323217,93807,219
Rutland,E06000017,18293,3840,209.9163614,10690,584.3765375,147,8.035860712,604,33.01809435,957,52.31509321,1486,81.23325862,569,31.10479418,37369,18828,503.8400814,12718,340.3355723,4532,121.2769943,1008,26.97422998,283,7.573122107,37369,65
Ryedale,E07000167,25988,5577,214.5990457,13518,520.1631522,240,9.235031553,1300,50.02308758,1412,54.33276897,3144,120.9789133,797,30.66800062,51751,23555,455.1602868,18476,357.0172557,7329,141.6204518,1846,35.67080829,545,10.53119746,51751,67
Salford,E08000006,113752,22625,198.8976018,75116,660.348829,479,4.210914973,2492,21.90730712,2725,23.95562276,6505,57.18580772,3810,33.49391659,233933,107689,460.3412088,75685,323.5328064,32849,140.4205478,13741,58.73904067,3969,16.96639636,233933,619
Sandwell,E08000028,125467,27249,217.1806132,80500,641.6029713,700,5.579156272,3206,25.55253573,3260,25.98292778,6955,55.43290268,3597,28.66889302,308063,129182,419.3363046,107081,347.5944855,48087,156.0946949,18171,58.9846882,5542,17.98982676,308063,963
Scarborough,E07000168,46119,12816,277.8898068,22266,482.7945099,387,8.391335458,2032,44.05993192,2091,45.33923112,4581,99.32999415,1946,42.1951907,108793,45241,415.8447694,38721,355.914443,17588,161.664813,5712,52.50337797,1531,14.07259658,108793,188
Sedgemoor,E07000188,46639,11153,239.1346298,24689,529.3638371,298,6.389502348,1713,36.72891786,2367,50.75151697,4772,102.3178027,1647,35.31379318,114588,51044,445.4567669,40291,351.6162251,16930,147.74671,4994,43.58222501,1329,11.5980731,114588,177
Sefton,E08000014,102777,27341,266.0225537,55195,537.0364965,600,5.837882016,3026,29.44238497,3893,37.87812448,7892,76.78760812,4830,46.99495023,273790,124069,453.1538771,89115,325.4866869,40620,148.3618832,15549,56.79170167,4437,16.2058512,273790,781
Selby,E07000169,35476,7166,201.9957154,21381,602.689142,243,6.849701206,1197,33.74112076,1405,39.60423949,2991,84.31051979,1093,30.80956139,83449,40351,483.5408453,28624,343.0118995,10654,127.6707929,3008,36.0459682,812,9.730494074,83449,119
Sevenoaks,E07000111,46402,10502,226.3264514,23924,515.5812249,398,8.577216499,1764,38.01560278,3111,67.04452394,5200,112.0641352,1503,32.39084522,114893,58796,511.7457112,38344,333.7366071,13180,114.7154309,3569,31.06368534,1004,8.738565448,114893,275
Sheffield,E08000019,261340,61686,236.037346,153820,588.5819239,1272,4.867222775,5758,22.03260121,7922,30.31300222,15540,59.46276881,15342,58.70513507,552698,258250,467.2533644,184343,333.5329601,75733,137.0241977,26703,48.31390741,7669,13.87557038,552698,1204
Shropshire,E06000051,145002,34364,236.9898346,77760,536.2684653,1115,7.68954911,5763,39.74427939,6798,46.88211197,14340,98.89518765,4862,33.53057199,306129,142309,464.8661185,106909,349.2285932,41475,135.4821007,11979,39.13056261,3457,11.292625,306129,539
Slough,E06000039,74593,11431,153.2449426,51802,694.4619468,359,4.812784041,1544,20.6989932,2411,32.32206775,4577,61.35964501,2469,33.09962061,140205,67156,478.9843444,50464,359.9301024,16288,116.172747,4906,34.99161941,1391,9.921186834,140205,313
Solihull,E08000029,99967,22012,220.1926636,61210,612.3020597,544,5.441795793,2135,21.35704783,3494,34.95153401,6473,64.75136795,4099,41.00353117,206674,98197,475.1299147,70683,342.0023806,27056,130.9114838,8241,39.87439155,2497,12.08182935,206674,550
South Cambridgeshire,E07000012,74393,12877,173.0942427,47627,640.2080841,410,5.511271222,2031,27.30095574,3581,48.13624938,5961,80.12850671,1906,25.62069012,148755,78041,524.6277436,50147,337.1113576,15792,106.1611374,3739,25.13528957,1036,6.964471782,148755,182
South Derbyshire,E07000039,33980,6989,205.6798117,20073,590.7298411,228,6.709829311,1018,29.95879929,1513,44.52619188,2955,86.96291936,1204,35.43260742,94611,45075,476.4245172,32550,344.0403336,12348,130.5133653,3647,38.54731479,991,10.47446914,94611,238
South Gloucestershire,E06000025,141998,30043,211.5734024,89116,627.586304,551,3.880336343,2864,20.16929816,4219,29.71168608,9541,67.1910872,5664,39.88788574,262767,129141,491.4658233,91675,348.8832312,30940,117.7469012,8556,32.56116636,2455,9.342877911,262767,390
South Hams,E07000044,43382,9503,219.0539855,21966,506.3390346,379,8.736342262,1862,42.92102715,3144,72.47245401,5043,116.2463695,1485,34.23078696,83140,39414,474.0678374,28574,343.68535,11075,133.209045,3156,37.96006736,921,11.07770026,83140,45
South Holland,E07000140,38861,7586,195.2085639,24057,619.0525205,251,6.458917681,1320,33.96721649,1461,37.5955328,3196,82.24183629,990,25.47541237,88270,35771,405.2452702,33149,375.5409539,13968,158.2417582,4167,47.20743174,1215,13.76458593,88270,177
South Kesteven,E07000141,57223,13480,235.5696136,31837,556.367195,382,6.675637419,1891,33.04615277,2628,45.92558936,4823,84.28429128,2182,38.13152054,133788,62625,468.0913086,46999,351.2945855,17767,132.7996532,5005,37.40993213,1392,10.40452058,133788,271
South Lakeland,E07000031,52022,12224,234.9775095,26852,516.1662374,447,8.59251855,2388,45.90365615,2712,52.1317904,5414,104.0713544,1985,38.15693361,103658,48461,467.5085377,36385,351.0100523,14117,136.1882344,3701,35.70394953,994,9.589226109,103658,264
South Norfolk,E07000149,54367,12990,238.9317049,29579,544.061655,335,6.161826108,1618,29.76070042,2894,53.23082017,5284,97.19131091,1667,30.66198245,124012,57480,463.5035319,44400,358.0298681,16575,133.6564203,4297,34.64987259,1260,10.16030707,124012,217
South Northamptonshire,E07000155,34323,6597,192.2034787,18915,551.0881916,251,7.312880576,1342,39.09914635,2010,58.56131457,4093,119.2494829,1115,32.48550535,85189,43204,507.1546796,29703,348.6717769,9378,110.0846353,2247,26.37664487,657,7.71226332,85189,129
